team,year,medal,sport,name
United States,1988,Gold,Basketball,Teresa Gaye Weatherspoon
United States,1988,Silver,Swimming,"David Lee ""Dave"" Wharton"
Great Britain,1988,Silver,Athletics,"Fatima N. (Fatma-) Whitbread (Vedad-, -Norman)"
United States,1988,Bronze,Diving,Wendy Lian Williams (-Champion)
United States,1988,Silver,Water Polo,Craig Martin Wilson
Great Britain,1988,Bronze,Boxing,"Richard James ""Richie"" Woodhall"
Australia,1988,Silver,Cycling,Dean Anthony Woods
Australia,1988,Bronze,Cycling,Dean Anthony Woods
Japan,1988,Bronze,Gymnastics,Takahiro Yamada
Japan,1988,Bronze,Judo,Yosuke Yamamoto
United States,1988,Gold,Athletics,Dannette Louise Young (-Stone)
Hungary,1988,Bronze,Shooting,Attila Zhonyi
Italy,1988,Silver,Fencing,Margherita Zalaffi (-Tonini)
United States,1988,Bronze,Swimming,Kathryn Paige Zemina (-Northcutt)
Italy,1988,Bronze,Biathlon,Andreas Zingerle
Hungary,1992,Silver,Fencing,Pter Abay
Italy,1992,Silver,Rowing,Carmine Abbagnale
Italy,1992,Silver,Rowing,Giuseppe Abbagnale
Hungary,1992,Silver,Canoeing,Attila brahm
United States,1992,Gold,Swimming,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)"
United States,1992,Silver,Swimming,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)"
United States,1992,Gold,Swimming,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)"
Japan,1992,Bronze,Gymnastics,Yutaka Aihara
Australia,1992,Silver,Cycling,Brett Aitken
Great Britain,1992,Bronze,Athletics,Kriss Kezie Uche Chukwu Duru Akabusi
Great Britain,1992,Bronze,Athletics,Kriss Kezie Uche Chukwu Duru Akabusi
Japan,1992,Bronze,Wrestling,Kosei Akaishi
Japan,1992,Bronze,Short Track Speed Skating,Yuichi Akasaka
Italy,1992,Silver,Cross Country Skiing,Marco Albarello
Italy,1992,Silver,Cross Country Skiing,Marco Albarello
France,1992,Silver,Freestyle Skiing,Olivier Allamand
Germany,1992,Silver,Rowing,"Ingeburg ""Inge"" Althoff-Schwerzmann"
Italy,1992,Silver,Cycling,Flavio Anastasia
Sweden,1992,Silver,Canoeing,Agneta Monica Andersson
Sweden,1992,Bronze,Canoeing,Agneta Monica Andersson
Sweden,1992,Bronze,Biathlon,Bo Leif Andersson
Sweden,1992,Silver,Handball,Per Magnus Andersson
Australia,1992,Bronze,Canoeing,Ramon Dean Andersson
Sweden,1992,Silver,Handball,Robert Andersson
Australia,1992,Gold,Rowing,Peter Thomas Antonie
Canada,1992,Silver,Ice Hockey,"David John ""Dave"" Archibald"
Japan,1992,Silver,Athletics,Yuko Arimori (-Wilson)
United States,1992,Gold,Athletics,Evelyn Ashford (-Washington)
Great Britain,1992,Bronze,Hockey,"Gillian ""Jill"" Atkins"
Italy,1992,Gold,Water Polo,Francesco Attolico
United States,1992,Bronze,Boxing,"Timothy ""Tim"" Austin"
France,1992,Bronze,Canoeing,Jacky Nicolas Avril
Germany,1992,Bronze,Rowing,Roland Baar
United States,1992,Gold,Synchronized Swimming,Kristen Elizabeth Babb-Sprague
Sweden,1992,Silver,Handball,Per Anders Bckegren
Great Britain,1992,Bronze,Athletics,"Stephen James ""Steve"" Backley"
France,1992,Silver,Shooting,Franck William Badiou
Germany,1992,Bronze,Diving,Brita Pia Baldus
Germany,1992,Bronze,Equestrianism,"Nikolaus ""Klaus"" Balkenhol"
Germany,1992,Gold,Equestrianism,"Nikolaus ""Klaus"" Balkenhol"
Germany,1992,Silver,Wrestling,Heiko Balz
Canada,1992,Gold,Rowing,Darren Barber
United States,1992,Gold,Basketball,Charles Wade Barkley
Canada,1992,Gold,Rowing,Jennifer-Kirsten Barnes
Canada,1992,Gold,Rowing,Jennifer-Kirsten Barnes
United States,1992,Gold,Swimming,"Michael Ray ""Mike"" Barrowman"
United States,1992,Bronze,Canoeing,"Gregory Mark ""Greg"" Barton"
United States,1992,Bronze,Athletics,Michael Dion Bates
Italy,1992,Bronze,Swimming,Stefano Battistelli
Germany,1992,Silver,Fencing,Sabine Christiane Bau
Germany,1992,Gold,Athletics,Dieter Baumann
Germany,1992,Bronze,Equestrianism,Matthias Andreas Baumann
United States,1992,Gold,Wrestling,Bruce Robert Baumgartner
Great Britain,1992,Bronze,Hockey,Lisa Jayne Bayliss
Germany,1992,Gold,Hockey,Andreas Becker
Germany,1992,Gold,Tennis,Boris Franz Becker
Germany,1992,Silver,Hockey,Britta Christiane Becker (-Kerner)
United States,1992,Bronze,Volleyball,Nick Adrian Becker
Canada,1992,Bronze,Biathlon,Myriam Bdard
Germany,1992,Gold,Equestrianism,Ludger Beerbaum
Germany,1992,Silver,Biathlon,Petra Behle-Schaaf
Germany,1992,Bronze,Weightlifting,Andreas Behm
Italy,1992,Gold,Cross Country Skiing,Stefania Belmondo
Italy,1992,Silver,Cross Country Skiing,Stefania Belmondo
Italy,1992,Bronze,Cross Country Skiing,Stefania Belmondo
Hungary,1992,Bronze,Boxing,Zoltn Bres
United States,1992,Bronze,Swimming,"David Charles ""Dave"" Berkoff"
United States,1992,Gold,Swimming,"David Charles ""Dave"" Berkoff"
Australia,1992,Silver,Hockey,John Roderick Bestall
Italy,1992,Gold,Fencing,Diana Bianchedi
United States,1992,Silver,Swimming,"Matthew Nicholas ""Matt"" Biondi"
United States,1992,Gold,Swimming,"Matthew Nicholas ""Matt"" Biondi"
United States,1992,Gold,Swimming,"Matthew Nicholas ""Matt"" Biondi"
United States,1992,Gold,Basketball,Larry Joe Bird
Australia,1992,Silver,Hockey,Warren Allen Birmingham
Great Britain,1992,Bronze,Athletics,Roger Anthony Black
Canada,1992,Silver,Short Track Speed Skating,Frdric Blackburn
Canada,1992,Silver,Short Track Speed Skating,Frdric Blackburn
United States,1992,Gold,Speed Skating,Bonnie Kathleen Blair (-Cruikshank)
United States,1992,Gold,Speed Skating,Bonnie Kathleen Blair (-Cruikshank)
Germany,1992,Silver,Equestrianism,Herbert Blcker
Germany,1992,Bronze,Equestrianism,Herbert Blcker
Germany,1992,Gold,Canoeing,Kay Bluhm
Germany,1992,Gold,Canoeing,Kay Bluhm
Germany,1992,Gold,Hockey,"Christian ""Bdi"" Blunck"
Great Britain,1992,Gold,Cycling,"Christopher Miles ""Chris"" Boardman"
Australia,1992,Silver,Hockey,Lee Andrew Bodimeade
United States,1992,Silver,Rowing,Thomas Robert Tom Bohrer
France,1992,Bronze,Canoeing,Olivier Boivin
Italy,1992,Bronze,Modern Pentathlon,Roberto Bomprezzi
Australia,1992,Bronze,Sailing,"Mitchell Jay ""Mitch"" Booth"
Germany,1992,Silver,Canoeing,Katrin Borchert
Germany,1992,Gold,Speed Skating,Jacqueline Brner (-Schubert)
Germany,1992,Gold,Rowing,Kathrin Boron (-Kppen)
Germany,1992,Gold,Fencing,Elmar Borrmann
Italy,1992,Gold,Fencing,Francesca Bortolozzi-Borella
United States,1992,Silver,Sailing,Stephen Norris Bourdow
France,1992,Bronze,Equestrianism,Hubert Bourdy
France,1992,Bronze,Cycling,Herv Boussard
Italy,1992,Gold,Water Polo,Alessandro Bovo
United States,1992,Silver,Sailing,"James H. ""Jim"" Brady"
Germany,1992,Bronze,Athletics,Sabine Braun
United States,1992,Bronze,Equestrianism,Charlotte Bredahl (-Baker)
Germany,1992,Silver,Swimming,Daniela Brendel
France,1992,Gold,Biathlon,Anne Briand-Bouthiaux
United States,1992,Bronze,Volleyball,Carlos Martin Briceno
Canada,1992,Silver,Ice Hockey,Todd Anthony Brost
Great Britain,1992,Bronze,Hockey,Karen Brown
United States,1992,Bronze,Gymnastics,Wendy Suzanne Bruce (-Martin)
Germany,1992,Silver,Rowing,Ralf Brudel
Hungary,1992,Silver,Fencing,Imre Bujdos
United States,1992,Bronze,Basketball,"Victoria Andrea ""Vicky"" Bullett"
Germany,1992,Gold,Wrestling,Maik Bullmann
United States,1992,Silver,Rowing,"William Douglas ""Doug"" Burden"
United States,1992,Silver,Swimming,"Gregory Stewart ""Greg"" Burgess"
Canada,1992,Silver,Ice Hockey,Sean Burke
United States,1992,Silver,Sailing,Kevin Lobdell Burnham
United States,1992,Gold,Athletics,Leroy Russell Burrell
United States,1992,Silver,Boxing,"Christopher Cornelius ""Chris"" Byrd"
Italy,1992,Gold,Water Polo,Paolo Caldarella
Italy,1992,Gold,Water Polo,"Alessandro ""Sandro"" Campagna"
United States,1992,Bronze,Wrestling,"Christopher Lundy ""Chris"" Campbell"
United States,1992,Gold,Tennis,Jennifer Marie Capriati
Australia,1992,Silver,Hockey,Ashley Carey
Sweden,1992,Silver,Handball,Per Arne Owe Carln
United States,1992,Bronze,Freestyle Skiing,Nelson Graham Carmichael
France,1992,Bronze,Swimming,Stphan Malcolm Caron
Italy,1992,Gold,Cycling,Fabio Casartelli
Sweden,1992,Silver,Handball,Jan Magnus Cato
Canada,1992,Bronze,Athletics,Angela Frances Chalmers (-Espinoza)
United States,1992,Bronze,Basketball,Daedra Janel Charles (-Furlow)
Japan,1992,Bronze,Gymnastics,Takashi Chinen
United States,1992,Bronze,Canoeing,Dana Chladek (Chladkov-)
Great Britain,1992,Gold,Athletics,Linford Ecerio Christie
United States,1992,Bronze,Diving,Mary Ellen Clark
Canada,1992,Bronze,Swimming,Stephen Clarke
France,1992,Gold,Biathlon,Vronique Claudel
Canada,1992,Bronze,Swimming,"Jonathan Thomas ""Jon"" Cleveland"
United States,1992,Bronze,Volleyball,Janet Marie Cobbs (-Mulholland)
Italy,1992,Silver,Cycling,Luca Colombo
Italy,1992,Gold,Alpine Skiing,Deborah Compagnoni
United States,1992,Gold,Athletics,"Michael Alexander ""Mike"" Conley"
Italy,1992,Silver,Cycling,Gianfranco Contri
United States,1992,Bronze,Athletics,Hollis Conway
Australia,1992,Gold,Rowing,Andrew Dollman Cooper
United States,1992,Bronze,Basketball,Cynthia Lynne Cooper (-Dyke)
Australia,1992,Silver,Hockey,"Gregory Dean ""Greg"" Corbitt"
Italy,1992,Bronze,Rowing,Alessandro Corona
Australia,1992,Bronze,Athletics,Daniela Costian
Canada,1992,Gold,Rowing,Shannon Crawford
Canada,1992,Gold,Rowing,"Andrew ""Andy"" Crosby"
United States,1992,Bronze,Volleyball,Tara Lavell Cross-Battle
Great Britain,1992,Bronze,Sailing,Robert Gordon Cruickshank
Hungary,1992,Silver,Judo,Jzsef Csk
Hungary,1992,Silver,Canoeing,Ferenc Csipes
Hungary,1992,Bronze,Judo,Imre Attila Cssz
United States,1992,Bronze,Volleyball,"Robert Jan ""Bob"" Ctvrtlik"
France,1992,Silver,Canoeing,Sylvain Georges Michel Curinier
Canada,1992,Gold,Short Track Speed Skating,Angela Cutrone
Hungary,1992,Bronze,Swimming,Attila Czene
Hungary,1992,Gold,Canoeing,Kinga Czigny
Italy,1992,Gold,Water Polo,Marco D'Altrui
Canada,1992,Silver,Ice Hockey,Kevin Curtis Dahl
Canada,1992,Gold,Short Track Speed Skating,Sylvie Daigle
Canada,1992,Silver,Short Track Speed Skating,Laurent Daignault
Canada,1992,Silver,Short Track Speed Skating,Michel Daignault
France,1992,Bronze,Judo,Bertrand ric Hugues Damaisin
Hungary,1992,Gold,Swimming,Tams Darnyi
Hungary,1992,Gold,Swimming,Tams Darnyi
France,1992,Bronze,Fencing,Jean-Philippe Daurelle
France,1992,Gold,Sailing,Franck Olivier Christian Franois David
Australia,1992,Silver,Hockey,Stephen John Davies
United States,1992,Bronze,Basketball,Clarissa Glennet Davis (-Wrightsil)
United States,1992,Bronze,Gymnastics,Dominique Margaux Dawes (-Thompson)
Italy,1992,Bronze,Athletics,Giovanni De Benedictis
United States,1992,Gold,Boxing,Oscar De La Hoya
Italy,1992,Silver,Cross Country Skiing,Maurilio De Zolt Lisabetta
France,1992,Bronze,Handball,Philippe Debureau
United States,1992,Silver,Athletics,"Anthony Michael ""Tony"" Dees"
Canada,1992,Gold,Rowing,Megan Catherine Delehanty
United States,1992,Bronze,Equestrianism,Norman Adrian Dello Joio
United States,1992,Gold,Swimming,Hans F. Dersch
United States,1992,Gold,Athletics,Yolanda Gail L. Devers (-Roberts)
Italy,1992,Silver,Rowing,Giuseppe Di Capua
Italy,1992,Bronze,Cross Country Skiing,Manuela Di Centa
Germany,1992,Silver,Hockey,Tanja Roswitha Dickenscheid
United States,1992,Gold,Swimming,Nelson W. Diebel
United States,1992,Gold,Swimming,Nelson W. Diebel
Australia,1992,Silver,Hockey,Damon Laurance Diletti
United States,1992,Gold,Gymnastics,Trent Dimas
Germany,1992,Silver,Biathlon,"Ursula ""Uschi"" Disl"
Germany,1992,Gold,Cycling,Bernd Dittert
United States,1992,Bronze,Basketball,Medina Dixon
Great Britain,1992,Bronze,Hockey,"Victoria Jane ""Vicky"" Dixon"
Germany,1992,Silver,Fencing,Annette Dobmeier
United States,1992,Silver,Athletics,"James F. ""Jim"" Doehring"
United States,1992,Silver,Short Track Speed Skating,Darcie Dohnal (-Sharapova)
United States,1992,Silver,Diving,Scott Richard Donie
United States,1992,Silver,Rowing,Shelagh Donohoe
Hungary,1992,Bronze,Canoeing,va Dnusz
Hungary,1992,Gold,Canoeing,va Dnusz
Germany,1992,Bronze,Rowing,Sylvia Drdelmann (-Vedder)
Germany,1992,Silver,Swimming,Jana Drries
Great Britain,1992,Bronze,Athletics,Sandra Marie Douglas
France,1992,Bronze,Judo,David Douillet
United States,1992,Bronze,Equestrianism,Robert Jeffrey Dover
Germany,1992,Gold,Athletics,Heike Gabriela Drechsler (Daute-)
Australia,1992,Silver,Hockey,Lachlan George Dreher
Italy,1992,Bronze,Canoeing,Bruno Dreossi
United States,1992,Gold,Basketball,Clyde Austin Drexler
France,1992,Bronze,Fencing,Franck Ducheix
United States,1992,Silver,Rowing,"Cynthia L. ""Cindy"" Eckert (-Rusher)"
United States,1992,Bronze,Basketball,Teresa Edwards
Hungary,1992,Gold,Swimming,Krisztina Egerszegi
Hungary,1992,Gold,Swimming,Krisztina Egerszegi
Hungary,1992,Gold,Swimming,Krisztina Egerszegi
Germany,1992,Bronze,Equestrianism,Ralf Ehrenbrink
Germany,1992,Bronze,Rowing,Armin Eichholz
Australia,1992,Silver,Hockey,Lachlan Anthony Elmer
United States,1992,Bronze,Volleyball,Lori Ann Endicott (-Vandersnick)
Germany,1992,Bronze,Luge,Susi-Lisa Erdmann (-Plankensteiner)
Germany,1992,Silver,Hockey,Nadine Ernsting-Krienke
France,1992,Bronze,Swimming,Franck Simon Esposito
Australia,1992,Silver,Hockey,Dean Michael Evans
United States,1992,Silver,Swimming,Janet Beth Evans
United States,1992,Gold,Swimming,Janet Beth Evans
United States,1992,Gold,Basketball,Patrick Aloysius Ewing
Great Britain,1992,Silver,Judo,Nicola Kim Fairbrother
France,1992,Bronze,Cycling,Didier Faivre-Pierret
Italy,1992,Bronze,Rowing,Gianluca Farina
Hungary,1992,Gold,Wrestling,Pter Farkas
United States,1992,Silver,Athletics,Sandra Marie Farmer-Patrick (Miller-)
Italy,1992,Silver,Cross Country Skiing,Silvio Fauner
United States,1992,Silver,Rowing,Carol Feeney
Germany,1992,Gold,Fencing,Robert Felisiak
United States,1992,Gold,Tennis,"Beatriz Cristina ""Gigi"" Fernandez"
United States,1992,Bronze,Tennis,"Maria Jose ""Mary Joe"" Fernandez (-Godsick)"
United States,1992,Gold,Tennis,"Maria Jose ""Mary Joe"" Fernandez (-Godsick)"
Germany,1992,Silver,Hockey,Christine Stephanie Ferneck
Italy,1992,Gold,Canoeing,Pierpaolo Ferrazzi
Italy,1992,Gold,Water Polo,Massimiliano Ferretti
Germany,1992,Silver,Table Tennis,Steffen Fetzner
Germany,1992,Silver,Fencing,Anja Fichtel-Mauritz (-Koper)
Hungary,1992,Silver,Canoeing,Lszl Fidel
Germany,1992,Gold,Cycling,Jens Fiedler
Germany,1992,Silver,Rowing,Karsten Finger
United States,1992,Gold,Athletics,Michelle Bonae Finn (-Burrell)
Italy,1992,Gold,Water Polo,Mario Fiorillo
Germany,1992,Gold,Hockey,Carsten Fischer
Germany,1992,Gold,Biathlon,"Friedrich ""Fritz"" Fischer"
Germany,1992,Gold,Canoeing,Birgit Fischer-Schmidt
Germany,1992,Silver,Canoeing,Birgit Fischer-Schmidt
France,1992,Gold,Judo,Catherine Dominique Marie-Christine Fleury-Vachon
France,1992,Gold,Archery,Sbastien Flte
United States,1992,Silver,Sailing,Paul Jeffrey Foerster
Australia,1992,Bronze,Sailing,John Robert Forbes
Canada,1992,Gold,Rowing,Michael Joseph Forgeron
Germany,1992,Bronze,Athletics,Karen Forkel
Australia,1992,Bronze,Athletics,"Timothy Charles ""Tim"" Forsyth"
United States,1992,Bronze,Volleyball,Scott Thomas Fortune
United States,1992,Silver,Shooting,Robert James Foth
Germany,1992,Bronze,Rowing,Antje Frank
Great Britain,1992,Bronze,Hockey,"Susanna Barbara ""Sue"" Fraser"
Great Britain,1992,Bronze,Hockey,Wendy Katrina Fraser
Canada,1992,Gold,Synchronized Swimming,Sylvie Frchette (-Van Strydonck)
Germany,1992,Bronze,Athletics,Stephan Timo Freigang
Germany,1992,Gold,Hockey,Volker Fried
Sweden,1992,Silver,Swimming,Lars Arne Frlander
United States,1992,Silver,Rowing,Amy Lynn Fuller (-Kearney)
Germany,1992,Gold,Cycling,Guido Fulst
Germany,1992,Silver,Fencing,Zita-Eva Funkenhauser
Canada,1992,Silver,Short Track Speed Skating,Sylvain Gagnon
Italy,1992,Bronze,Rowing,Rossano Galtarossa
Italy,1992,Gold,Water Polo,Ferdinando Gandolfi
Germany,1992,Bronze,Speed Skating,Monique Garbrecht-Enfeldt
France,1992,Bronze,Handball,Philippe Gardent
France,1992,Silver,Table Tennis,Jean-Philippe Gatien
France,1992,Bronze,Cycling,Philippe Gaumont
United States,1992,Silver,Sailing,"Michael William ""Mike"" Gebhardt"
Canada,1992,Bronze,Swimming,Marcel Gery
Canada,1992,Silver,Ice Hockey,"Curtis Jon ""Curt"" Giles"
Canada,1992,Bronze,Judo,Nicolas Gill
Great Britain,1992,Bronze,Swimming,"Nicholas ""Nick"" Gillingham"
United States,1992,Bronze,Swimming,"Douglas Seneca ""Doug"" Gjertsen"
Germany,1992,Gold,Cycling,Michael Glckner
France,1992,Bronze,Equestrianism,Herv Godignon
Germany,1992,Silver,Tennis,"Stefanie Maria ""Steffi"" Graf"
Australia,1992,Bronze,Canoeing,Kelvin John Graham
France,1992,Bronze,Fencing,Herv Granger-Veyron
United States,1992,Bronze,Athletics,"John Lee ""Johnny"" Gray, Jr."
Australia,1992,Gold,Equestrianism,David Michael Green
Australia,1992,Gold,Rowing,"Nicholas David ""Nick"" Green"
United States,1992,Bronze,Volleyball,"Daniel Robert ""Dan"" Greenbaum"
United States,1992,Bronze,Athletics,"Joseph Tilford Lee ""Joe"" Greene"
Great Britain,1992,Bronze,Athletics,David Allan Grindley
Germany,1992,Silver,Biathlon,Ricco Gro
Germany,1992,Gold,Biathlon,Ricco Gro
France,1992,Gold,Freestyle Skiing,Edgar Alain Grospiron
France,1992,Bronze,Fencing,Pierre Guichot
United States,1992,Gold,Athletics,Carlette Denise Guidry-White (-Falkquay)
France,1992,Silver,Nordic Combined,Sylvain Guillaume
Great Britain,1992,Gold,Athletics,Sally Jane Janet Gunnell (-Bigg)
Great Britain,1992,Bronze,Athletics,Sally Jane Janet Gunnell (-Bigg)
Germany,1992,Gold,Canoeing,Torsten Ren Gutsche
Germany,1992,Gold,Canoeing,Torsten Ren Gutsche
France,1992,Gold,Nordic Combined,Fabrice Jean-Marie Guy
Hungary,1992,Silver,Canoeing,Zsolt Gyulay
Hungary,1992,Silver,Canoeing,Zsolt Gyulay
Germany,1992,Bronze,Rowing,Kathrin Haacker
Germany,1992,Gold,Luge,Georg Hackl
Germany,1992,Bronze,Swimming,Annette Hadding
United States,1992,Gold,Sailing,"Harold H. ""Hal"" Haenel"
Germany,1992,Silver,Hockey,Eva Hagenbumer (-Hansen)
Sweden,1992,Bronze,Canoeing,Inger Anna Maria Haglund
United States,1992,Gold,Swimming,Nicole Lee Haislett (-Bacher)
United States,1992,Gold,Swimming,Nicole Lee Haislett (-Bacher)
United States,1992,Gold,Swimming,Nicole Lee Haislett (-Bacher)
Sweden,1992,Silver,Handball,Laszlo Erik Hajas
Germany,1992,Gold,Rowing,Andreas Hajek
Hungary,1992,Silver,Judo,Bertalan Hajts
United States,1992,Gold,Athletics,Darnell Kenneth Hall
Great Britain,1992,Bronze,Archery,Steven Leslie Hallard
Canada,1992,Silver,Ice Hockey,"David Patrick ""Dave"" Hannan"
France,1992,Bronze,Cycling,Jean-Louis Harel
Canada,1992,Bronze,Cycling,"Curtis Melvin ""Curt"" Harnett"
United States,1992,Bronze,Cycling,Erin Wesley Hartwell
Germany,1992,Bronze,Rowing,Christiane Harzendorf
Germany,1992,Gold,Swimming,Dagmar Hase
Germany,1992,Silver,Swimming,Dagmar Hase
Germany,1992,Silver,Swimming,Dagmar Hase
Japan,1992,Bronze,Speed Skating,Seiko Hashimoto (-Ishizaki)
Japan,1992,Bronze,Gymnastics,Yoshiaki Hatakeda
Australia,1992,Gold,Rowing,"Stephen Mark ""Steve"" Hawkins"
United States,1992,Bronze,Sailing,Pamela Katherine Healy
Canada,1992,Gold,Rowing,Kathleen Joan Heddle
Canada,1992,Gold,Rowing,Kathleen Joan Heddle
Sweden,1992,Silver,Handball,Gunnar Robert Hedin
Hungary,1992,Silver,Fencing,Ferenc Hegeds
France,1992,Gold,Sailing,Nicolas Hnard
Germany,1992,Bronze,Swimming,Jana Henke
France,1992,Bronze,Fencing,Jean-Michel Henry
Germany,1992,Silver,Hockey,Franziska Constanze Hentschel (-Sanner)
Great Britain,1992,Gold,Rowing,Garry Gerard Paul Herbert
Germany,1992,Bronze,Canoeing,Olaf Heukrodt
Germany,1992,Gold,Hockey,Michael Hilgers
United States,1992,Bronze,Volleyball,Brent William Hilliard
Germany,1992,Silver,Rowing,Peter Hoeltzenbein
Germany,1992,Bronze,Swimming,Jrg Hoffmann
Germany,1992,Bronze,Rowing,Annette Hohn
Sweden,1992,Silver,Swimming,Anders Sren Holmertz (Johansson-)
Sweden,1992,Bronze,Swimming,Anders Sren Holmertz (Johansson-)
Sweden,1992,Silver,Swimming,Anders Sren Holmertz (Johansson-)
Australia,1992,Silver,Swimming,Glen Clifford Housman
United States,1992,Silver,Athletics,Denean Elizabeth Howard-Hill
Great Britain,1992,Bronze,Judo,Kate Louise Howey
Australia,1992,Gold,Equestrianism,Andrew James Hoy
France,1992,Bronze,Canoeing,Didier Hoyer
United States,1992,Gold,Swimming,"Joseph Bernard ""Joe"" Hudepohl"
United States,1992,Bronze,Swimming,"Joseph Bernard ""Joe"" Hudepohl"
Germany,1992,Bronze,Swimming,Daniela Hunger
Germany,1992,Bronze,Swimming,Daniela Hunger
Germany,1992,Silver,Swimming,Daniela Hunger
Canada,1992,Silver,Ice Hockey,"Gordon Ross ""Gord"" Hynes"
Japan,1992,Bronze,Gymnastics,Yukio Iketani
Japan,1992,Silver,Gymnastics,Yukio Iketani
Japan,1992,Bronze,Speed Skating,Junichi Inoue
Japan,1992,Bronze,Short Track Speed Skating,Tatsuyoshi Ishihara
United States,1992,Bronze,Sailing,"Jennifer J. Fetter ""JJ"" Isler"
Japan,1992,Silver,Figure Skating,Midori Ito
Japan,1992,Bronze,Baseball,Tomohito Ito
United States,1992,Bronze,Volleyball,Bryan Eric Ivie
Japan,1992,Gold,Swimming,Kyoko Iwasaki
United States,1992,Gold,Wrestling,Kevin Andre Jackson
United States,1992,Bronze,Basketball,Tammy Eloise Jackson
United States,1992,Bronze,Swimming,Scott Erik Jaffe
United States,1992,Bronze,Swimming,"Thomas Michael ""Tom"" Jager"
United States,1992,Gold,Swimming,"Thomas Michael ""Tom"" Jager"
Germany,1992,Gold,Shooting,Michael Georg Jakosits
United States,1992,Gold,Athletics,"Charles Lamont ""Chip"" Jenkins, Jr."
United States,1992,Bronze,Athletics,Lynn A. Jennings (Hill-)
Canada,1992,Bronze,Sailing,Eric Albert Jespersen
United States,1992,Gold,Athletics,James Sherman Jett
Sweden,1992,Silver,Wrestling,Karl Tomas Ingemar Johansson
Sweden,1992,Bronze,Biathlon,Ulf Lennart Johansson
Canada,1992,Bronze,Boxing,"Christopher Omar ""Chris"" Johnson"
United States,1992,Bronze,Athletics,"David Alan ""Dave"" Johnson"
Great Britain,1992,Bronze,Hockey,"Kathryn Louise ""Kath"" Johnson"
United States,1992,Gold,Basketball,"Earvin ""Magic"" Johnson, Jr."
United States,1992,Gold,Athletics,Michael Duane Johnson
United States,1992,Bronze,Basketball,Carolyn Jones (-Young)
United States,1992,Gold,Athletics,Esther B. Jones
United States,1992,Silver,Wrestling,"Larry Lee ""Zeke"" Jones"
United States,1992,Gold,Basketball,Michael Jeffrey Jordan
United States,1992,Gold,Swimming,Shaun M. Jordan
United States,1992,Bronze,Swimming,"Daniel Ploug ""Dan"" Jorgensen"
Canada,1992,Silver,Ice Hockey,Fabian Gerard Joseph
United States,1992,Gold,Synchronized Swimming,Karen Julia Josephson
United States,1992,Gold,Synchronized Swimming,Sarah Gay Josephson
United States,1992,Bronze,Athletics,"Jacqueline ""Jackie"" Joyner-Kersee"
United States,1992,Gold,Athletics,"Jacqueline ""Jackie"" Joyner-Kersee"
Canada,1992,Silver,Ice Hockey,"Joseph ""Joe"" Juneau"
Germany,1992,Silver,Hockey,Caren Jungjohann (-Hecker)
United States,1992,Silver,Athletics,Natasha E. Kaiser-Brown
Germany,1992,Silver,Hockey,Katrin Kauschke
Japan,1992,Bronze,Baseball,Shinichiro Kawabata
Japan,1992,Bronze,Short Track Speed Skating,Toshinobu Kawai
Japan,1992,Bronze,Short Track Speed Skating,Tsutomu Kawasaki
Germany,1992,Gold,Canoeing,Oliver Michael Kegel
Germany,1992,Gold,Hockey,Andreas Keller
Germany,1992,Silver,Rowing,Uwe Jrg Kellner
Australia,1992,Silver,Cycling,Shane John Kelly
United States,1992,Bronze,Volleyball,Caren Marie Alexis Kemner
United States,1992,Silver,Sailing,"Douglas James ""Doug"" Kern"
United States,1992,Bronze,Figure Skating,Nancy Ann Kerrigan (-Solomon)
Canada,1992,Silver,Ice Hockey,Trevor Kidd
Germany,1992,Bronze,Swimming,Kerstin Kielga
Germany,1992,Bronze,Swimming,Kerstin Kielga
Germany,1992,Bronze,Rowing,Detlef Kirchhoff
Germany,1992,Gold,Biathlon,Mark Kirchner
Germany,1992,Silver,Biathlon,Mark Kirchner
Germany,1992,Gold,Biathlon,Mark Kirchner
Germany,1992,Bronze,Rowing,Manfred Klein
United States,1992,Gold,Swimming,Megan Adelle Kleine (-Morris)
Australia,1992,Bronze,Sailing,Lars Detlef Kleppich
Germany,1992,Gold,Hockey,Michael Knauth
Japan,1992,Bronze,Shooting,Ryohei Koba
Hungary,1992,Silver,Canoeing,Rita Kbn
Hungary,1992,Bronze,Canoeing,Rita Kbn
Hungary,1992,Gold,Canoeing,Rita Kbn
Germany,1992,Gold,Fencing,Alexander Koch
Japan,1992,Gold,Judo,Toshihiko Koga
Japan,1992,Bronze,Baseball,Masahito Kohiyama
Japan,1992,Bronze,Baseball,Hirotami Kojima
Japan,1992,Bronze,Baseball,Hiroki Kokubo
Hungary,1992,Silver,Fencing,Ern Kolczonay
Japan,1992,Gold,Nordic Combined,Takanori Kono
Germany,1992,Gold,Rowing,Kerstin Kppen (Kosbab-)
Sweden,1992,Bronze,Wrestling,Torbjrn Jarle Kornbakk
Japan,1992,Bronze,Judo,Tadanori Koshino
United States,1992,Silver,Wrestling,Dennis Marwin Koslowski
Hungary,1992,Gold,Judo,Antal Kovcs
Hungary,1992,Bronze,Boxing,Istvn Kovcs
Hungary,1992,Silver,Fencing,Ivn Kovcs
Hungary,1992,Silver,Fencing,Csaba Kves
