team,year,medal,sport,name
United States,1900,Gold,Athletics,"Alvin Christian ""Al"" Kraenzlein"
United States,1900,Gold,Athletics,"Alvin Christian ""Al"" Kraenzlein"
United States,1900,Bronze,Cycling,John Henry Lake
Australia,1900,Gold,Swimming,"Frederick Claude Vivian ""Fred"" Lane"
Australia,1900,Gold,Swimming,"Frederick Claude Vivian ""Fred"" Lane"
France,1900,Bronze,Fencing,Henri Albert Fernand Laurent
Great Britain,1900,Silver,Athletics,"Patrick Joseph ""Pat"" Leahy"
Great Britain,1900,Bronze,Athletics,"Patrick Joseph ""Pat"" Leahy"
France,1900,Silver,Shooting,Maurice Marie Lecoq
France,1900,Bronze,Shooting,Maurice Marie Lecoq
United States,1900,Gold,Athletics,"Maxwell Warburn ""Maxey"" Long"
Great Britain,1900,Silver,Tennis,Harold Segerson Mahony
France,1900,Bronze,Swimming,Louis Martin
France,1900,Silver,Fencing,Eugne Henri Masson
United States,1900,Silver,Athletics,"Josiah Calvin McCracken, Jr."
United States,1900,Bronze,Athletics,"Josiah Calvin McCracken, Jr."
United States,1900,Silver,Athletics,John Frederick McLean
France,1900,Bronze,Archery,mile Mercier
France,1900,Gold,Fencing,Louis Lucien Mrignac
France,1900,Bronze,Fencing,Jean-Baptiste Narcisse Mimiague
United States,1900,Bronze,Athletics,"Frederick Graham ""Fred"" Moloney"
France,1900,Silver,Shooting,Lon Ernest Moreaux
France,1900,Bronze,Shooting,Lon Ernest Moreaux
France,1900,Gold,Archery,Eugne Mougin
France,1900,Gold,Equestrianism,Louis Napolon Murat
Great Britain,1900,Bronze,Tennis,Arthur B. J. Norris
Canada,1900,Bronze,Athletics,George Washington F. Orton
Canada,1900,Gold,Athletics,George Washington F. Orton
France,1900,Silver,Shooting,Nicolas Achille Paroche
France,1900,Silver,Shooting,Nicolas Achille Paroche
France,1900,Bronze,Shooting,Nicolas Achille Paroche
France,1900,Gold,Shooting,Nicolas Achille Paroche
France,1900,Silver,Fencing,Louis Lonce Thophile Perre
France,1900,Bronze,Archery,Frdric Adolphe Petit
France,1900,Bronze,Archery,Frdric Adolphe Petit
United States,1900,Bronze,Golf,"Myra Abigail ""Abbie"" Pratt (Pankhurst-, Wright-, -Karageorgevich)"
France,1900,Silver,Tennis,Yvonne Prvost (-Boppe)
United States,1900,Silver,Athletics,Meyer Prinstein
United States,1900,Gold,Athletics,Meyer Prinstein
Great Britain,1900,Gold,Athletics,"John Thomas ""Jack"" Rimmer"
Great Britain,1900,Bronze,Golf,David Donaldson Robertson
Great Britain,1900,Silver,Athletics,Sidney John Robinson
Great Britain,1900,Bronze,Athletics,Sidney John Robinson
Australia,1900,Bronze,Athletics,"Stanley Rupert ""Stan"" Rowley"
Australia,1900,Bronze,Athletics,"Stanley Rupert ""Stan"" Rowley"
Australia,1900,Bronze,Athletics,"Stanley Rupert ""Stan"" Rowley"
Great Britain,1900,Silver,Golf,Walter Mathers Rutherford
France,1900,Gold,Gymnastics,Silvaine Gustave Sandras
United States,1900,Gold,Golf,Charles Edward Sands
Italy,1900,Silver,Fencing,Italo Santelli
France,1900,Silver,Cycling,"Fernando ""Fernand"" Sanz y Martinez de Arizala"
France,1900,Bronze,Croquet,Marie Maurice Jacques Alfred Sautereau
France,1900,Bronze,Fencing,Lon Se
France,1900,Bronze,Fencing,Lon Se
France,1900,Silver,Archery,Auguste Serrurier
France,1900,Silver,Archery,Auguste Serrurier
United States,1900,Gold,Athletics,"Richard ""Dick"" Sheldon"
United States,1900,Bronze,Athletics,"Richard ""Dick"" Sheldon"
United States,1900,Bronze,Athletics,Lewis Pendleton Sheldon
United States,1900,Bronze,Athletics,Lewis Pendleton Sheldon
France,1900,Silver,Swimming,Andr Jules Henri Six
France,1900,Gold,Cycling,Albert Philippe Taillandier
France,1900,Silver,Athletics,Henri Alexis Tauzin
United States,1900,Silver,Athletics,Walter Beardsley Tewksbury
United States,1900,Silver,Athletics,Walter Beardsley Tewksbury
United States,1900,Gold,Athletics,Walter Beardsley Tewksbury
United States,1900,Bronze,Athletics,Walter Beardsley Tewksbury
United States,1900,Gold,Athletics,Walter Beardsley Tewksbury
France,1900,Silver,Archery,Victor Thibault
France,1900,Silver,Archery,Victor Thibault
France,1900,Silver,Fencing,Lon Thibaut
France,1900,Bronze,Shooting,Jean Justin Ren Thomas
France,1900,Bronze,Athletics,mile Torcheboeuf
France,1900,Silver,Shooting,Jules Cyrus Angelle Trinit
Italy,1900,Silver,Equestrianism,"Giovanni Giorgio ""Giangiorgio"" Trissino"
Italy,1900,Gold,Equestrianism,"Giovanni Giorgio ""Giangiorgio"" Trissino"
France,1900,Bronze,Cycling,Louis Auguste Trousselier
Great Britain,1900,Gold,Athletics,Alfred Ernest Tysoe
France,1900,Silver,Croquet,Maurice Marie Joseph Vignerot
Hungary,1900,Silver,Swimming,Zoltn Imre dn von Halmay
Hungary,1900,Bronze,Swimming,Zoltn Imre dn von Halmay
Hungary,1900,Silver,Swimming,Zoltn Imre dn von Halmay
France,1900,Bronze,Croquet,Chrtien Andr Waydelich
France,1900,Gold,Croquet,Chrtien Andr Waydelich
United States,1900,Silver,Golf,"Pauline ""Polly"" Whittier (-Iselin)"
United States,1904,Silver,Swimming,Edgar Holmes Adams
United States,1904,Bronze,Cycling,Arthur Fleming Andrews
United States,1904,Silver,Cycling,Arthur Fleming Andrews
United States,1904,Bronze,Athletics,Lesley Ashburner
United States,1904,Silver,Wrestling,Gustave George Bauer
United States,1904,Silver,Wrestling,"William ""Bill"" Beckman"
United States,1904,Bronze,Tennis,"Alphonzo Edward Bell, Sr."
United States,1904,Gold,Boxing,"Samuel ""Sam"" Berger"
United States,1904,Bronze,Athletics,John Arthur Biller
United States,1904,Bronze,Cycling,"Edwin ""Teddy"" Billington"
United States,1904,Bronze,Cycling,"Edwin ""Teddy"" Billington"
United States,1904,Silver,Cycling,"Edwin ""Teddy"" Billington"
United States,1904,Bronze,Cycling,"Edwin ""Teddy"" Billington"
Germany,1904,Gold,Swimming,Walter Brack
Germany,1904,Silver,Swimming,Walter Brack
United States,1904,Gold,Wrestling,"Benjamin Joseph ""Ben"" Bradshaw"
United States,1904,Bronze,Athletics,Emil William Breitkreutz
United States,1904,Bronze,Roque,Charles Brown
United States,1904,Gold,Archery,"George Philip ""Phil"" Bryant"
United States,1904,Gold,Archery,"George Philip ""Phil"" Bryant"
United States,1904,Silver,Boxing,Miles J. Burke
United States,1904,Silver,Athletics,"Nathaniel John ""Nate"" Cartmell"
United States,1904,Silver,Athletics,"Nathaniel John ""Nate"" Cartmell"
United States,1904,Silver,Athletics,Frank Riley Castleman
United States,1904,Bronze,Wrestling,Charles Ellis Clapper
United States,1904,Silver,Athletics,"William Wesley Coe, Jr."
United States,1904,Silver,Archery,Emma C. Cooke
United States,1904,Silver,Archery,Emma C. Cooke
France,1904,Silver,Athletics,Louis Albert Corey
United States,1904,Gold,Wrestling,"Robert Samuel ""Bob"" Curry"
Great Britain,1904,Silver,Athletics,John Joseph Daly
United States,1904,Bronze,Swimming,"Charles Meldrum ""Charlie"" Daniels"
United States,1904,Silver,Swimming,"Charles Meldrum ""Charlie"" Daniels"
United States,1904,Gold,Swimming,"Charles Meldrum ""Charlie"" Daniels"
United States,1904,Gold,Swimming,"Charles Meldrum ""Charlie"" Daniels"
Canada,1904,Gold,Athletics,Joseph-tienne Desmarteau (Birtz-)
United States,1904,Silver,Athletics,John Riegel DeWitt
United States,1904,Gold,Swimming,"William Eugene ""Billy"" Dickey"
United States,1904,Silver,Cycling,Burton Cecil Downing
United States,1904,Silver,Cycling,Burton Cecil Downing
United States,1904,Bronze,Cycling,Burton Cecil Downing
United States,1904,Silver,Cycling,Burton Cecil Downing
United States,1904,Gold,Cycling,Burton Cecil Downing
United States,1904,Gold,Cycling,Burton Cecil Downing
United States,1904,Bronze,Gymnastics,John Alexander Duha
United States,1904,Gold,Athletics,Charles Edward Dvorak
United States,1904,Silver,Golf,Henry Chandler Egan
United States,1904,Gold,Gymnastics,Max Philip Emmerich
United States,1904,Silver,Athletics,"Frederick William ""Fred"" Engelhardt"
United States,1904,Gold,Athletics,"Raymond Clarence ""Ray"" Ewry"
United States,1904,Gold,Athletics,"Raymond Clarence ""Ray"" Ewry"
United States,1904,Gold,Athletics,"Raymond Clarence ""Ray"" Ewry"
United States,1904,Silver,Gymnastics,George Louis Eyser
United States,1904,Gold,Gymnastics,George Louis Eyser
United States,1904,Gold,Gymnastics,George Louis Eyser
United States,1904,Bronze,Gymnastics,George Louis Eyser
United States,1904,Gold,Gymnastics,George Louis Eyser
United States,1904,Silver,Gymnastics,George Louis Eyser
United States,1904,Bronze,Athletics,Lawrence Edward Joseph Feuerbach
United States,1904,Gold,Boxing,George V. Finnegan
United States,1904,Silver,Boxing,George V. Finnegan
United States,1904,Silver,Athletics,John Joseph Flanagan
United States,1904,Gold,Athletics,John Joseph Flanagan
United States,1904,Silver,Fencing,Arthur George Fox
United States,1904,Silver,Athletics,"Daniel ""Dan"" Frank"
Australia,1904,Silver,Swimming,"Francis ""Frank"" Gailey"
Australia,1904,Silver,Swimming,"Francis ""Frank"" Gailey"
Australia,1904,Silver,Swimming,"Francis ""Frank"" Gailey"
Australia,1904,Bronze,Swimming,"Francis ""Frank"" Gailey"
United States,1904,Bronze,Boxing,"Frederick Garfield ""Fred"" Gilmore"
United States,1904,Gold,Gymnastics,Herman Theobald Glass
United States,1904,Silver,Cycling,"Oscar A. Goerke, Jr."
United States,1904,Bronze,Swimming,"Leo Joseph ""Budd"" Goodwin"
United States,1904,Silver,Fencing,William F. Grebe
United States,1904,Bronze,Fencing,William F. Grebe
United States,1904,Gold,Rowing,Frank Bartholomew Greer
United States,1904,Silver,Gymnastics,John William Grieb
United States,1904,Bronze,Athletics,Herman Charles Groman
United States,1904,Silver,Athletics,Adam Beattie Gunn
United States,1904,Gold,Athletics,"Charles Archibald ""Archie"" Hahn"
United States,1904,Gold,Athletics,"Charles Archibald ""Archie"" Hahn"
United States,1904,Gold,Athletics,"Charles Archibald ""Archie"" Hahn"
United States,1904,Silver,Boxing,Frank Bee Haller
United States,1904,Bronze,Swimming,"Henry Jamison ""Jam"" Handy"
United States,1904,Bronze,Athletics,Thomas Truxtun Hare
United States,1904,Bronze,Athletics,Lacey Earnest Hearn
United States,1904,Gold,Gymnastics,Anton Heida
United States,1904,Gold,Gymnastics,Anton Heida
United States,1904,Silver,Gymnastics,Anton Heida
United States,1904,Gold,Gymnastics,Anton Heida
United States,1904,Gold,Gymnastics,Anton Heida
United States,1904,Silver,Wrestling,John C. Hein
United States,1904,Gold,Gymnastics,"Edward August ""Ed"" Hennig"
United States,1904,Gold,Gymnastics,"Edward August ""Ed"" Hennig"
