Year,Aeronautics,Alpine Skiing,Alpinism,Archery,Art Competitions,Athletics,Badminton,Baseball,Basketball,Basque Pelota,Beach Volleyball,Biathlon,Bobsleigh,Boxing,Canoeing,Cricket,Croquet,Cross Country Skiing,Curling,Cycling,Diving,Equestrianism,Fencing,Figure Skating,Football,Freestyle Skiing,Golf,Gymnastics,Handball,Hockey,Ice Hockey,Jeu De Paume,Judo,Lacrosse,Luge,Military Ski Patrol,Modern Pentathlon,Motorboating,Nordic Combined,Polo,Racquets,Rhythmic Gymnastics,Roque,Rowing,Rugby,Rugby Sevens,Sailing,Shooting,Short Track Speed Skating,Skeleton,Ski Jumping,Snowboarding,Softball,Speed Skating,Swimming,Synchronized Swimming,Table Tennis,Taekwondo,Tennis,Trampolining,Triathlon,Tug-Of-War,Volleyball,Water Polo,Weightlifting,Wrestling
1984,0.0,401.0,0.0,109.0,0.0,1674.0,0.0,0.0,213.0,0.0,0.0,195.0,152.0,354.0,299.0,0.0,0.0,477.0,0.0,475.0,101.0,281.0,424.0,114.0,246.0,0.0,0.0,930.0,259.0,286.0,239.0,0.0,212.0,0.0,89.0,0.0,103.0,0.0,28.0,0.0,0.0,33.0,0.0,465.0,0.0,0.0,300.0,539.0,0.0,0.0,111.0,0.0,0.0,328.0,1232.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,153.0,186.0,286.0
1988,0.0,668.0,0.0,257.0,0.0,2062.0,0.0,0.0,236.0,0.0,0.0,207.0,186.0,432.0,388.0,0.0,0.0,528.0,0.0,518.0,108.0,324.0,506.0,129.0,270.0,0.0,0.0,1217.0,281.0,314.0,265.0,0.0,243.0,0.0,98.0,0.0,122.0,0.0,75.0,0.0,0.0,39.0,0.0,624.0,0.0,0.0,375.0,545.0,0.0,0.0,157.0,0.0,0.0,326.0,1614.0,76.0,206.0,0.0,202.0,0.0,0.0,0.0,239.0,156.0,226.0,457.0
1992,0.0,750.0,0.0,247.0,0.0,2054.0,226.0,160.0,236.0,0.0,0.0,457.0,216.0,336.0,587.0,0.0,0.0,717.0,0.0,566.0,112.0,404.0,458.0,133.0,272.0,71.0,0.0,1255.0,292.0,314.0,267.0,0.0,433.0,0.0,98.0,0.0,117.0,0.0,78.0,0.0,0.0,42.0,0.0,661.0,0.0,0.0,441.0,564.0,124.0,0.0,171.0,0.0,0.0,354.0,1615.0,89.0,248.0,0.0,250.0,0.0,0.0,0.0,231.0,152.0,244.0,371.0
1994,0.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,207.0,0.0,0.0,0.0,0.0,639.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,99.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,164.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,0.0,0.0,0.0,218.0,0.0,2386.0,263.0,160.0,284.0,0.0,84.0,0.0,0.0,355.0,575.0,0.0,0.0,0.0,0.0,584.0,139.0,343.0,388.0,0.0,388.0,0.0,0.0,1397.0,300.0,320.0,0.0,0.0,387.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,90.0,0.0,621.0,0.0,0.0,458.0,612.0,0.0,0.0,0.0,0.0,120.0,0.0,1635.0,72.0,251.0,0.0,246.0,0.0,0.0,0.0,275.0,153.0,243.0,401.0
1998,0.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,204.0,0.0,0.0,0.0,0.0,733.0,80.0,0.0,0.0,0.0,0.0,145.0,0.0,110.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,176.0,127.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,206.0,0.0,2468.0,225.0,192.0,286.0,0.0,96.0,0.0,0.0,307.0,448.0,0.0,0.0,0.0,0.0,621.0,238.0,295.0,349.0,0.0,391.0,0.0,0.0,1144.0,323.0,350.0,0.0,0.0,398.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,84.0,0.0,561.0,0.0,0.0,402.0,599.0,0.0,0.0,0.0,0.0,120.0,0.0,1741.0,117.0,268.0,102.0,248.0,24.0,100.0,0.0,279.0,231.0,246.0,314.0
2002,0.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,240.0,0.0,0.0,0.0,0.0,774.0,96.0,0.0,0.0,0.0,0.0,143.0,0.0,105.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,39.0,178.0,118.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,212.0,0.0,2175.0,200.0,191.0,287.0,0.0,96.0,0.0,0.0,280.0,434.0,0.0,0.0,0.0,0.0,623.0,196.0,371.0,323.0,0.0,425.0,0.0,0.0,1151.0,328.0,352.0,0.0,0.0,384.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,84.0,0.0,559.0,0.0,0.0,401.0,558.0,0.0,0.0,0.0,0.0,118.0,0.0,1618.0,117.0,260.0,124.0,252.0,32.0,99.0,0.0,283.0,255.0,249.0,342.0
2006,0.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.0,191.0,0.0,0.0,0.0,0.0,812.0,91.0,0.0,0.0,0.0,0.0,147.0,0.0,116.0,0.0,0.0,0.0,0.0,442.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0,42.0,202.0,198.0,0.0,379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,194.0,0.0,2244.0,184.0,191.0,287.0,0.0,96.0,0.0,0.0,283.0,436.0,0.0,0.0,0.0,0.0,652.0,182.0,340.0,332.0,0.0,469.0,0.0,0.0,996.0,343.0,387.0,0.0,0.0,386.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,95.0,0.0,563.0,0.0,0.0,400.0,577.0,0.0,0.0,0.0,0.0,120.0,0.0,1749.0,117.0,250.0,126.0,254.0,32.0,110.0,0.0,283.0,256.0,253.0,343.0
2010,0.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,199.0,0.0,0.0,0.0,0.0,725.0,93.0,0.0,0.0,0.0,0.0,146.0,0.0,172.0,0.0,0.0,0.0,0.0,420.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,47.0,170.0,185.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,200.0,0.0,2278.0,182.0,0.0,287.0,0.0,96.0,0.0,0.0,283.0,418.0,0.0,0.0,0.0,0.0,629.0,181.0,350.0,345.0,0.0,467.0,0.0,0.0,848.0,347.0,387.0,0.0,0.0,384.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,95.0,0.0,550.0,0.0,0.0,379.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.0,117.0,236.0,128.0,286.0,32.0,110.0,0.0,287.0,257.0,252.0,339.0
2014,0.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,223.0,0.0,0.0,0.0,0.0,765.0,87.0,0.0,0.0,0.0,0.0,221.0,0.0,264.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,46.0,200.0,308.0,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,200.0,0.0,2508.0,177.0,0.0,281.0,0.0,96.0,0.0,0.0,283.0,441.0,0.0,0.0,0.0,0.0,667.0,178.0,355.0,346.0,0.0,473.0,0.0,120.0,861.0,353.0,390.0,0.0,0.0,389.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,96.0,0.0,550.0,0.0,299.0,380.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.0,118.0,236.0,126.0,286.0,32.0,110.0,0.0,283.0,258.0,255.0,346.0
